Ticker,Market Cap,Shares Outstanding,Float,Industry,Sector,Website,Revenue,EPS,CPS,Total Debt,Total Cash,Book Value,Dividend Rate,Dividend Yield,PE Ratio,Forward PE Ratio,Debt to Equity,Quick Ratio,Current Ratio,Price,Volume,52 Week Low,52 Week High,Long Name
MMM,57953501184,553361024,552647421,Conglomerates,Industrials,https://www.3m.com,32653000704,-12.74,19.826,22256001024.0,10970999808.0,8.794,,,,13.409732,451.166,,,104.7300033569336,1860613,71.36288,106.04,3M Company
AOS,11802534912,120784000,119281464,Specialty Industrial Machinery,Industrials,https://www.aosmith.com,3928699904,3.87,1.581,165100000.0,233300000.0,12.951,,,20.793283,18.541473,8.637,,,80.47000122070312,2719330,64.14,92.45,A. O. Smith Corporation
ABT,180782333952,1739629952,1728605201,Medical Devices,Healthcare,https://www.abbott.com,40725000192,3.17,3.823,14705000448.0,6650999808.0,22.309,,,32.782333,20.2179,37.664,,,103.91999816894531,5865896,89.67,121.64,Abbott Laboratories
ABBV,305760370688,1765869952,1762318387,Drug Manufacturers - General,Healthcare,https://www.abbvie.com,54402998272,3.36,10.232,74358996992.0,18069000192.0,4.535,,,51.532738,14.262767,924.059,,,173.14999389648438,2091577,135.85,182.89,AbbVie Inc.
ACN,206913421312,626384000,625231864,Information Technology Services,Technology,https://www.accenture.com,64475844608,10.93,8.848,4601543168.0,5542094848.0,44.276,,,30.222322,25.827208,16.078,,,330.3299865722656,1649895,278.69,387.51,Accenture plc
ADBE,242100830208,443400000,442229424,Software - Infrastructure,Technology,https://www.adobe.com,20429000704,11.08,18.189,6089999872.0,8064999936.0,33.058,,,49.27888,26.5311,41.029,,,546.010009765625,2358391,433.97,638.25,Adobe Inc.
AMD,248911740928,1616310016,1606001789,Semiconductors,Technology,https://www.amd.com,22799998976,0.69,3.734,2998000128.0,6034999808.0,34.733,,,223.1884,27.8481,5.335,,,154.0,31040892,93.12,227.3,"Advanced Micro Devices, Inc."
AES,12479311872,710667008,706900114,Utilities - Diversified,Utilities,https://www.aes.com,12513999872,0.73,3.36,30478000128.0,2388000000.0,4.081,,,24.054792,8.401914,391.647,,,17.559999465942383,4123426,11.43,22.21,The AES Corporation
AFL,53594701824,568222016,563068669,Insurance - Life,Financial Services,https://www.aflac.com,19337000960,9.09,14.852,11761000448.0,8439000064.0,41.273,,,10.376238,13.809664,49.968,,,94.31999969482422,1040008,71.97,95.49,Aflac Incorporated
A,38118572032,291760992,290643428,Diagnostics & Research,Healthcare,https://www.agilent.com,6591000064,4.22,5.727,2726000128.0,1671000064.0,21.311,,,30.959715,22.880909,43.869,,,130.64999389648438,1640747,96.8,155.35,"Agilent Technologies, Inc."
